QuoteId,MinPrice,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
111,55621,False,1710,43268,65698,2017-05-05T00:00:00,1710,65698,43268,2017-05-30T00:00:00,2017-04-16T17:09:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Brussels Airlines,Brussels Airlines
116,33404,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-15T19:20:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
117,25651,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-07T14:09:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
118,28586,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-12T16:07:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
119,21897,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-09T00:00:00,2017-04-12T14:35:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
120,25758,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-16T13:34:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
121,25955,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-11T00:00:00,2017-04-16T11:15:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
123,25025,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-13T00:00:00,2017-04-13T11:14:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
124,33404,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:04:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
125,42541,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-16T00:00:00,2017-04-12T18:06:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
126,50426,False,838,43268,65698,2017-05-06T00:00:00,838,65698,43268,2017-05-17T00:00:00,2017-04-11T19:52:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Air France,Air France
127,32040,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-21T00:00:00,2017-04-16T21:47:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
128,59025,True,881,43268,65698,2017-05-06T00:00:00,881,65698,43268,2017-05-30T00:00:00,2017-04-13T13:02:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
136,35434,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-08T09:40:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
137,34039,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-07T14:10:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
139,30200,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-06T18:53:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
140,36623,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-11T00:00:00,2017-04-11T17:54:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
141,37805,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-16T12:01:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
142,46214,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:04:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
143,70689,True,881,43268,65698,2017-05-07T00:00:00,881,65698,43268,2017-05-15T00:00:00,2017-04-03T06:40:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
144,56429,False,1368,43268,65698,2017-05-07T00:00:00,1384,65698,43268,2017-05-15T00:00:00,2017-04-03T06:39:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Lufthansa,Swiss
145,63371,False,1368,43268,65698,2017-05-07T00:00:00,1384,65698,43268,2017-05-16T00:00:00,2017-04-12T18:09:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Lufthansa,Swiss
146,100927,True,1001,43268,65655,2017-05-07T00:00:00,885,81678,43268,2017-05-16T00:00:00,2017-04-12T18:09:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Norwegian,Flybe
147,38193,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-21T00:00:00,2017-04-11T10:55:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
148,84668,False,1218,43268,66270,2017-05-07T00:00:00,1001,65655,43268,2017-05-28T00:00:00,2017-04-05T07:50:00,BUD,Budapest,Station,LGW,London Gatwick,Station,Iberia,Norwegian
149,143306,True,881,43268,65698,2017-05-07T00:00:00,1001,65655,43268,2017-05-28T00:00:00,2017-04-05T07:50:00,BUD,Budapest,Station,LGW,London Gatwick,Station,British Airways,Norwegian
155,26074,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-15T04:49:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
156,28839,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-15T12:00:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
157,24112,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-14T10:13:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
158,38664,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-11T00:00:00,2017-04-12T15:19:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
159,42749,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-12T00:00:00,2017-04-16T01:58:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
160,24403,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-12T15:29:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
161,37649,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:04:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
162,25567,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-15T00:00:00,2017-04-08T09:04:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
163,34896,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-16T00:00:00,2017-04-14T19:14:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
164,26264,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-18T00:00:00,2017-04-06T09:28:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
165,118014,True,881,43268,65698,2017-05-08T00:00:00,881,65698,43268,2017-05-26T00:00:00,2017-04-15T14:23:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
166,76375,False,1523,43268,65698,2017-05-08T00:00:00,1523,65698,43268,2017-05-26T00:00:00,2017-04-15T14:23:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Austrian Airlines,Austrian Airlines
