QuoteId,MinPrice,Currency,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
123,50426,HUF,False,838,43268,65698,2017-05-06T00:00:00,838,65698,43268,2017-05-17T00:00:00,2017-04-11T19:52:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Air France,Air France
124,32040,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-21T00:00:00,2017-04-16T21:47:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
125,59025,HUF,True,881,43268,65698,2017-05-06T00:00:00,881,65698,43268,2017-05-30T00:00:00,2017-04-13T13:02:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
130,34736,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-06T09:45:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
131,34039,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-06T09:43:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
132,39849,HUF,True,1914,43268,66270,2017-05-07T00:00:00,885,81678,43268,2017-05-09T00:00:00,2017-04-17T06:21:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Wizz Air,Flybe
133,30200,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-06T18:53:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
134,36623,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-11T00:00:00,2017-04-11T17:54:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
135,37805,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-16T12:01:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
136,46214,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:04:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
137,73880,HUF,True,881,43268,65698,2017-05-07T00:00:00,881,65698,43268,2017-05-15T00:00:00,2017-04-03T06:40:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
138,59555,HUF,False,1368,43268,65698,2017-05-07T00:00:00,1523,65698,43268,2017-05-15T00:00:00,2017-04-03T06:39:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Lufthansa,Austrian Airlines
139,63371,HUF,False,1368,43268,65698,2017-05-07T00:00:00,1384,65698,43268,2017-05-16T00:00:00,2017-04-12T18:09:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Lufthansa,Swiss
140,100927,HUF,True,1001,43268,65655,2017-05-07T00:00:00,885,81678,43268,2017-05-16T00:00:00,2017-04-12T18:09:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Norwegian,Flybe
141,38193,HUF,True,1914,43268,66270,2017-05-07T00:00:00,1914,66270,43268,2017-05-21T00:00:00,2017-04-11T10:55:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
142,143306,HUF,True,881,43268,65698,2017-05-07T00:00:00,1001,65655,43268,2017-05-28T00:00:00,2017-04-05T07:50:00,BUD,Budapest,Station,LGW,London Gatwick,Station,British Airways,Norwegian
143,84668,HUF,False,1218,43268,66270,2017-05-07T00:00:00,1001,65655,43268,2017-05-28T00:00:00,2017-04-05T07:50:00,BUD,Budapest,Station,LGW,London Gatwick,Station,Iberia,Norwegian
153,26074,HUF,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-15T04:49:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
154,28839,HUF,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-15T12:00:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
155,24112,HUF,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-14T10:13:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
156,34611,HUF,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-11T00:00:00,2017-04-12T15:14:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
157,42749,HUF,True,1914,43268,66270,2017-05-08T00:00:00,1914,66270,43268,2017-05-12T00:00:00,2017-04-17T11:11:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
